Record Id,Credit Risk,Installment rate_transformed,Residence Tenure_transformed,Existing credit_transformed,Dependents_transformed,Duration_transformed,Credit amt_transformed,Age_transformed,Current Ac status,SavingAc/Bonds,Emp Tenure,Debtors/Guarantors,Housing,Job,Telephone,Foreign Worker,credit_history_transformed,Status & Sex_female : divorce/seperated/married,Status & Sex_male : divorce/seperated,Status & Sex_male:married/widowed,Status & Sex_male:single,Property owned_building society savings agreement/ life insurance,Property owned_car or other,Property owned_real estate,Property owned_unknown / no property,Purpose_business,Purpose_car(new),Purpose_car(used),Purpose_domestic appliance,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/tv,Purpose_repairs,Purpose_retraining,Other Installemnt plans_bank,Other Installemnt plans_none,Other Installemnt plans_stores
13,1,1,1,1.000000,1,-0.749340,-0.633871,-1.200367,2.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,2,4,4,2.000000,1,0.272070,-0.776271,2.176710,1.000000,1.000000,4.000000,0.000000,1.000000,1.000000,"none","yes","1.000000",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,1,2,4,1.000000,1,-0.493987,-0.697332,-0.667144,1.000000,1.000000,2.000000,0.000000,0.000000,2.000000,"none","yes","2.000000",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,2,4,2,1.000000,1,0.272070,-0.744154,-0.311662,1.000000,2.000000,2.000000,0.000000,1.000000,1.000000,"none","yes","2.000000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,1,4,4,2.000000,1,0.272070,-0.302251,1.554617,0.000000,0.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,1,2,3,3.000000,1,0.782774,1.883269,-0.933755,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,"none","yes","4.000000",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,2,4,2,1.000000,1,0.272070,3.080910,0.754783,2.000000,1.000000,4.000000,0.000000,2.000000,3.000000,"yes","yes","2.000000",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,1,3,2,1.000000,2,0.272070,0.087025,-0.400533,0.000000,3.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,1,4,4,3.000000,1,-1.004692,-0.414468,1.110265,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","1.000000",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,1,2,3,1.000000,2,-1.260044,-0.215960,0.754783,1.000000,3.000000,2.000000,0.000000,0.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,1,1,3,2.000000,2,-0.919575,-0.373064,1.110265,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,"none","no","1.000000",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,1,3,4,1.000000,1,-0.749340,-0.542163,0.754783,2.000000,2.000000,1.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25,1,2,1,2.000000,1,-0.919575,-0.439620,-0.844885,0.000000,0.000000,2.000000,0.000000,1.000000,2.000000,"none","no","1.000000",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,1,1,2,1.000000,1,-1.260044,-0.708554,0.043819,1.000000,1.000000,2.000000,0.000000,1.000000,1.000000,"yes","yes","2.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
27,1,4,4,1.000000,1,-1.260044,-1.075387,0.310431,0.000000,1.000000,4.000000,0.000000,1.000000,1.000000,"none","yes","4.000000",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,1,3,3,2.000000,1,-0.749340,-1.081965,0.577042,3.000000,4.000000,2.000000,0.000000,0.000000,2.000000,"none","yes","3.000000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,1,3,2,1.000000,1,-1.174927,-0.305734,-0.133921,2.000000,1.000000,2.000000,2.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,2,3,4,2.000000,1,2.807494,1.404993,2.443321,1.000000,1.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","0.000000",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
31,1,3,3,1.000000,1,-0.238635,-0.499985,0.043819,2.000000,4.000000,1.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32,1,2,2,1.000000,1,0.272070,0.315329,-0.756014,1.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,1,2,2,2.000000,1,-0.238635,1.029647,-0.489403,2.000000,2.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,1,4,4,1.000000,1,-0.749340,-0.751119,1.910099,0.000000,0.000000,4.000000,0.000000,0.000000,1.000000,"none","yes","1.000000",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
35,1,4,1,1.000000,1,-0.749340,-0.669858,-0.222792,3.000000,1.000000,1.000000,0.000000,1.000000,3.000000,"yes","yes","2.000000",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
36,2,4,2,2.000000,1,2.059536,0.596258,-0.933755,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,"none","yes","1.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1,1,3,1.000000,1,2.314888,1.124064,-0.400533,0.000000,1.000000,2.000000,0.000000,2.000000,2.000000,"yes","yes","1.000000",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
38,2,4,2,1.000000,1,-0.238635,-0.427625,0.132690,3.000000,1.000000,2.000000,1.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,1,2,2,1.000000,1,-0.919575,-0.766210,0.132690,3.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
40,1,4,3,1.000000,1,-1.004692,-1.063004,-1.022626,2.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41,1,4,2,1.000000,1,0.782774,-0.337464,-0.489403,0.000000,3.000000,4.000000,0.000000,1.000000,3.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42,1,3,1,1.000000,1,-0.749340,-0.792136,-0.844885,2.000000,3.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,1,2,4,1.000000,2,-0.238635,1.160438,0.754783,2.000000,1.000000,2.000000,0.000000,1.000000,1.000000,"yes","yes","0.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44,1,1,4,2.000000,1,0.782774,1.153860,-1.022626,1.000000,2.000000,3.000000,0.000000,0.000000,2.000000,"none","yes","1.000000",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45,2,4,4,2.000000,1,2.314888,1.136834,1.998969,1.000000,1.000000,4.000000,0.000000,2.000000,1.000000,"none","yes","1.000000",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
46,1,4,4,2.000000,1,-0.834457,-0.701202,-0.045051,0.000000,1.000000,1.000000,0.000000,1.000000,3.000000,"none","yes","1.000000",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
47,1,4,4,1.000000,1,1.293479,-0.350621,0.310431,0.000000,3.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,1,1,2,1.000000,1,-1.260044,-0.717067,-1.111496,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,"yes","yes","2.000000",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
49,1,1,4,2.000000,1,-0.834457,1.556680,0.310431,0.000000,1.000000,2.000000,0.000000,1.000000,1.000000,"none","yes","1.000000",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50,1,4,2,1.000000,1,-0.749340,-0.438072,-0.667144,0.000000,2.000000,2.000000,1.000000,1.000000,2.000000,"none","yes","2.000000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,1,4,2,1.000000,1,0.272070,-0.337464,-0.578274,2.000000,0.000000,1.000000,0.000000,1.000000,1.000000,"none","yes","0.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52,1,1,2,2.000000,1,0.527422,1.067956,-0.489403,2.000000,1.000000,4.000000,0.000000,1.000000,3.000000,"yes","yes","0.000000",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53,1,3,2,1.000000,1,-0.749340,-0.751893,-0.933755,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,1,2,1,1.000000,1,-0.238635,0.066904,-0.400533,0.000000,0.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
55,2,4,4,2.000000,1,1.293479,-0.379255,1.910099,2.000000,1.000000,4.000000,0.000000,2.000000,2.000000,"yes","yes","0.000000",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
56,1,1,2,1.000000,2,-1.260044,-0.937244,-0.844885,0.000000,0.000000,2.000000,2.000000,1.000000,1.000000,"none","yes","3.000000",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57,2,2,1,1.000000,1,-0.749340,1.262594,1.465746,2.000000,0.000000,0.000000,0.000000,1.000000,3.000000,"yes","yes","2.000000",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
58,1,2,2,2.000000,1,1.293479,2.461380,-0.400533,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
59,1,3,2,1.000000,1,-0.238635,-0.481411,-1.111496,3.000000,1.000000,4.000000,0.000000,1.000000,3.000000,"none","yes","2.000000",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,2,4,4,2.000000,1,1.293479,1.170112,-1.111496,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,"yes","yes","1.000000",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
61,1,2,1,1.000000,1,-1.004692,-0.701976,-0.756014,2.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62,1,4,4,2.000000,1,-0.493987,-0.645480,1.288006,2.000000,0.000000,4.000000,2.000000,1.000000,2.000000,"yes","yes","1.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
63,2,4,4,1.000000,1,1.293479,-0.484507,2.265580,2.000000,1.000000,4.000000,0.000000,2.000000,3.000000,"yes","yes","4.000000",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
64,2,2,2,1.000000,1,2.314888,3.080910,-0.933755,2.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","4.000000",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
65,1,4,4,1.000000,1,0.272070,-0.009326,-0.844885,0.000000,1.000000,1.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66,1,4,4,3.139963,2,0.527422,0.768066,1.110265,0.000000,0.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
67,1,2,2,1.000000,1,-0.749340,-0.400151,-0.578274,0.000000,1.000000,1.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
68,1,4,1,1.000000,1,-0.749340,-0.850566,-1.200367,2.000000,4.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
69,2,4,4,1.000000,1,1.293479,-0.536359,0.132690,0.000000,1.000000,2.000000,0.000000,2.000000,2.000000,"yes","yes","2.000000",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
70,1,4,4,1.000000,1,1.293479,-0.313860,-0.933755,0.000000,0.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,1,1,2,1.000000,1,1.293479,1.906874,-0.489403,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
72,1,4,2,2.000000,1,-1.174927,-0.957753,0.932524,0.000000,0.000000,4.000000,0.000000,0.000000,1.000000,"yes","yes","1.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
73,1,3,4,2.000000,2,-1.089809,-0.789814,1.376876,1.000000,1.000000,4.000000,0.000000,2.000000,3.000000,"yes","yes","1.000000",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
74,1,2,1,2.000000,1,1.804183,1.063699,0.488172,2.000000,1.000000,3.000000,0.000000,1.000000,1.000000,"none","yes","1.000000",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,2,4,4,1.000000,1,1.293479,-0.475220,0.399301,1.000000,0.000000,4.000000,0.000000,1.000000,3.000000,"yes","yes","2.000000",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
76,1,4,4,2.000000,1,-0.749340,-0.649737,2.709933,1.000000,1.000000,4.000000,0.000000,2.000000,3.000000,"none","yes","1.000000",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
77,2,4,3,1.000000,1,1.804183,0.294046,-0.133921,1.000000,1.000000,1.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78,1,2,4,1.000000,1,-0.834457,0.605932,1.376876,2.000000,1.000000,3.000000,0.000000,1.000000,2.000000,"none","yes","0.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79,1,2,2,1.000000,2,2.807494,2.411076,0.310431,0.000000,0.000000,2.000000,0.000000,1.000000,1.000000,"none","yes","4.000000",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
80,1,2,1,1.000000,1,0.782774,0.242581,-1.200367,2.000000,1.000000,1.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
81,2,1,1,2.000000,1,0.272070,1.059443,0.754783,0.000000,0.000000,1.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
82,1,4,3,1.000000,1,-0.493987,-0.770853,1.021394,0.000000,3.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
83,1,3,4,1.000000,1,-0.238635,-0.633485,-1.022626,0.000000,2.000000,2.000000,0.000000,0.000000,1.000000,"none","yes","2.000000",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
84,1,4,4,1.000000,1,0.272070,-0.561124,1.998969,1.000000,1.000000,4.000000,2.000000,1.000000,1.000000,"yes","yes","2.000000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
85,1,3,4,1.000000,1,-0.919575,-0.344429,1.465746,1.000000,1.000000,4.000000,0.000000,1.000000,1.000000,"none","yes","2.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
86,1,4,2,2.000000,1,-0.749340,-0.693849,-0.578274,0.000000,1.000000,2.000000,2.000000,1.000000,3.000000,"yes","yes","1.000000",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,1,4,1,2.000000,1,-0.238635,-0.739123,-0.756014,2.000000,1.000000,1.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
88,2,1,4,1.000000,2,1.293479,3.080910,1.021394,2.000000,2.000000,2.000000,0.000000,2.000000,2.000000,"yes","yes","2.000000",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
89,1,4,3,1.000000,2,-0.238635,-0.369968,-0.489403,1.000000,2.000000,3.000000,0.000000,1.000000,3.000000,"yes","yes","2.000000",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
90,2,4,3,2.000000,1,-0.749340,-0.811484,-0.667144,1.000000,1.000000,3.000000,0.000000,1.000000,2.000000,"none","yes","4.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
91,1,4,4,1.000000,1,-0.749340,-1.001092,1.821228,0.000000,1.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
92,1,4,3,1.000000,1,-0.749340,-0.695010,1.643487,1.000000,1.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
93,2,4,3,1.000000,2,-0.749340,-0.931827,-0.222792,0.000000,0.000000,4.000000,0.000000,1.000000,1.000000,"none","yes","1.000000",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
94,1,4,4,2.000000,1,0.272070,0.159386,-1.378108,3.000000,0.000000,4.000000,1.000000,0.000000,2.000000,"none","yes","1.000000",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
95,1,4,4,1.000000,1,-0.749340,-0.730223,1.643487,2.000000,4.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
96,2,3,4,1.000000,1,2.807494,3.080910,1.998969,2.000000,1.000000,1.000000,0.000000,0.000000,2.000000,"yes","yes","4.000000",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
97,1,4,2,1.000000,1,-0.749340,-0.461677,2.265580,0.000000,0.000000,3.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
98,1,4,4,1.000000,1,-0.238635,-0.225634,-0.133921,2.000000,2.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
99,1,4,4,1.000000,1,1.293479,-0.335916,0.043819,2.000000,1.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","1.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100,1,3,4,2.000000,2,-0.068400,1.490510,0.043819,2.000000,0.000000,3.000000,0.000000,0.000000,3.000000,"yes","yes","0.000000",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
101,1,4,4,1.000000,1,0.272070,-0.671793,0.488172,0.000000,2.000000,4.000000,0.000000,0.000000,1.000000,"none","yes","2.000000",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
102,1,4,4,1.000000,1,1.293479,-0.341334,-1.022626,2.000000,1.000000,3.000000,0.000000,0.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
103,1,3,2,1.000000,1,-1.260044,-0.879588,-1.022626,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","0.000000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
104,1,4,3,1.000000,1,-1.004692,-0.497663,-0.045051,2.000000,1.000000,3.000000,0.000000,0.000000,2.000000,"yes","yes","1.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
105,1,2,4,1.000000,1,-0.749340,-0.294125,-0.844885,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,"yes","yes","2.000000",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106,2,2,3,2.000000,2,0.272070,3.080910,0.310431,2.000000,1.000000,2.000000,1.000000,1.000000,3.000000,"yes","yes","1.000000",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
107,2,2,4,2.000000,2,-0.238635,1.258724,0.310431,0.000000,1.000000,4.000000,0.000000,1.000000,3.000000,"yes","yes","3.000000",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
108,1,2,2,1.000000,1,-0.749340,1.111682,-0.311662,2.000000,1.000000,3.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
109,1,1,2,1.000000,1,0.272070,1.747448,-0.489403,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,"yes","no","2.000000",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
110,1,1,2,1.000000,1,-0.579105,-0.694623,-0.045051,2.000000,3.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","2.000000",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
111,1,1,2,2.000000,2,-1.260044,-0.679532,-0.400533,2.000000,2.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","0.000000",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
112,1,4,4,1.000000,1,-0.493987,-1.088543,-1.111496,3.000000,1.000000,1.000000,0.000000,0.000000,2.000000,"yes","yes","2.000000",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
113,1,3,3,1.000000,1,-0.238635,1.182107,-0.667144,2.000000,1.000000,3.000000,0.000000,0.000000,1.000000,"none","yes","2.000000",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
114,2,4,2,2.000000,1,1.293479,1.799300,-0.933755,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"yes","yes","1.000000",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
